id,ime_recepta,ime_uporabnika,vrsta_jedi,dan,mesec,leto,cas_priprave,tezavnost
20247,Marmeladni muffini,pikapolonica80,sladice: pecivo,11,2,2015,30 minut,1
20248,Borovničeva "krašotica" ,SMARTY1,sladice: torte,12,2,2015,150 minut,2
20249,Hitri krofi,mmmuffinsandco,sladice: pecivo,12,2,2015,90 minut,3
20250,Litrski kruh,andda,kruh,12,2,2015,150 minut,1
20251,Žepki z avokadom,T as Tasty,sladice: pecivo,12,2,2015,45 minut,2
20252,Bučkina juha,zes5ana,juhe in zakuhe: zelenjavne juhe,13,2,2015,30 minut,1
20253,Opičji kruh aka Monkey Bread,nivkapivka,sladice: ostalo,13,2,2015,120 minut,3
20254,Valentinov kolač s srcem,mmmuffinsandco,sladice: ostalo,13,2,2015,90 minut,3
20255,Hrustljavi čokolini,piskrcek,sladice: piškoti,14,2,2015,75 minut,2
20256,Tabasco omaka malce drugače,tulipanka,omake: prelivi,14,2,2015,30 minut,1
20257,Pisana solata z avokadom,Barbara_M,solate,13,2,2015,15 minut,1
20258,Lovska ali stefani pečenka po moje,mopsika,mesne jedi: mešano meso,14,2,2015,90 minut,1
20259,Mini krofki ,anja5588,sladice: ostalo,16,2,2015,30 minut,1
20260,Tortica za valentinovo,Sanja_G,sladice: torte,16,2,2015,180 minut,2
20261,Pustni piškoti,marta,sladice: piškoti,16,2,2015,60 minut,1
20262,Pustne bombetke brez cvrtja - iz pečice,marta,sladice: ostalo,16,2,2015,90 minut,3
20263,Borovničeva torta ,marta,sladice: torte,17,2,2015,60 minut,2
20264,Jogurtova torta z avokadom,marta,sladice: torte,17,2,2015,75 minut,2
20265,Krompirjeva torta s špinačo; pršutom; sirom ,marta,sirove jedi,17,2,2015,150 minut,2
20266,Čokoladne vrtnice,marta,sladice: pecivo,17,2,2015,150 minut,3
20267,Otroška torta,Katja D,sladice: torte,23,2,2015,90 minut,2
20268,Motovilčeva solata s postrvjo,T as Tasty,solate,23,2,2015,30 minut,2
20269,Kašnice; kašne klobase ,fizik,mesne jedi: svinjina,24,2,2015,60 minut,2
20270,Kozice v smetanovi omaki,zes5ana,morska hrana: raki,24,2,2015,30 minut,1
20271,Jagodna torta z Linolado ,midvakuhava,sladice: torte,24,2,2015,45 minut,3
20272,Ričet,Abeta,enolončnice,24,2,2015,90 minut,1
20275,Kuskusovi žličniki s čemažem ali špinačo,Barbara_M,priloge: ostalo,25,2,2015,45 minut,2
20276,Mini tortice,anja5588,sladice: pecivo,25,2,2015,60 minut,2
20277,Pomarančni biskvit,marta,sladice: pecivo,25,2,2015,90 minut,2
20278,Bordo marmelada ,teodorca,ozimnica: sladki shranki,25,2,2015,120 minut,2
20279,Krogci z gresom in višnjami,kuharica Sara,sladice: pecivo,26,2,2015,60 minut,2
20280,Pica kruh v obliki rože,T as Tasty,kruh,26,2,2015,90 minut,3
20281,Pizza sonce,marta,kruh,26,2,2015,90 minut,3
20282,Skrite hrenovke,marta,kruh,26,2,2015,90 minut,2
20283,Palačinke v pečici,vesoljec,sladice: palačinke,27,2,2015,120 minut,4
20284,Čokoladni rezanci,teodorca,sladice: ostalo,27,2,2015,90 minut,2
20285,Bakalca,Barbara_M,mesne jedi: govedina,27,2,2015,120 minut,3
20286,Jogurtov biskvit za rulado,SMARTY1,sladice: pecivo,4,3,2015,45 minut,1
20287,Krompirjevo - ribje polpete,sarabande,morska hrana: ribe,4,3,2015,240 minut,2
20288,Jagodna "krašotica" ,SMARTY1,sladice: torte,5,3,2015,240 minut,2
20289,Limonine tortice,midvakuhava,sladice: torte,5,3,2015,15 minut,1
20290,Pekoče testenine 2 »ala fasulas«,fasulas,eksotika: ostale dežele,6,3,2015,60 minut,1
20291,Prleška ajdova župa »ala fasulas«,fasulas,juhe in zakuhe: ostale juhe,7,3,2015,60 minut,1
20292,Proteinske kroglice s temno čokolado,Evvva,sladice: ostalo,8,3,2015,30 minut,1
20293,Velikonočna šunka s kostjo v krušnem testu,Marina_M,mesne jedi: ostalo,6,3,2015,240 minut,4
20294,Špinačno - pirini njoki,nerwen,testenine,9,3,2015,30 minut,1
20295,Čokoladni kolač s hruško,limnol,sladice: pecivo,10,3,2015,90 minut,2
20296,Dream mix,jančibake,sladice: ostalo,11,3,2015,45 minut,2
20298,Korenčkova solata z dodatki,dari,solate,11,3,2015,15 minut,1
20299,Čokoladna salama,the tina,sladice: pecivo,11,3,2015,90 minut,2
20300,Makovčki,the tina,sladice: pecivo,12,3,2015,45 minut,2
20301,Piščanec v kokosu,nivkapivka,mesne jedi: perutnina,15,3,2015,30 minut,2
20302,Pogača,kokljeva,kruh,17,3,2015,120 minut,2
20303,Soba rezanci z azijskimi okusi,T as Tasty,eksotika: Indija,17,3,2015,30 minut,2
20304,Kavina torta z domačim pudingom,marta,sladice: torte,18,3,2015,60 minut,2
20305,Domači kavni puding,marta,sladice: kreme za torte in peciva,18,3,2015,15 minut,1
20306,Piškoti kavna zrna,marta,sladice: piškoti,19,3,2015,60 minut,1
20307,Solata s svežo jogurtovo polivko,Zorana,solate,19,3,2015,30 minut,1
20308,Babičini žepki,blala,sladice: piškoti,20,3,2015,120 minut,1
20309,Malinine sanje,lellykely,sladice: torte,23,3,2015,120 minut,3
20310,Testenine s tuno; repki kozic in rakovimi palčkami ,skinna,testenine,23,3,2015,60 minut,2
20311,Telečji navihančki,vitta555,mesne jedi: ostalo,24,3,2015,60 minut,3
20312,Kremna gobja omakica,Sabina Jug,gobje jedi,25,3,2015,30 minut,2
20313,Osja gnezda s kokosom,branco,sladice: pecivo,25,3,2015,60 minut,2
20314,Kremna čemaževa juha,mamamia,juhe in zakuhe: zelenjavne juhe,27,3,2015,45 minut,1
20315,Testenine s čemažem,mamamia,testenine,27,3,2015,45 minut,1
20316,Zebrice,kuharica k,sladice: pecivo,28,3,2015,30 minut,1
20317,Makova tortica z mascarpone sirom,T as Tasty,sladice: torte,28,3,2015,60 minut,3
20318,Chia puding z mangom,Mme,sladice: pudingi,30,3,2015,15 minut,1
